854,0
855,0.5
856,0
857,0
858,0.5
859,1
860,1
861,1
862,0.5
863,0
864,0.5
865,0.5
866,0.5
867,0
868,0.5
869,0.5
870,0
871,0
872,1
873,0
874,1
875,0
876,0.5
877,0.5
878,0
879,1
880,0.5
881,1
882,0
883,0.5
884,1
885,0
886,0
887,0
888,1
889,0
890,1
891,0.5
892,0
893,0.5
894,0
895,1
896,0.5
897,1
898,0.5
899,0.5
900,0
901,1
902,0
903,1
904,0
905,1
906,0
907,1
908,0.5
909,1
910,0.5
911,0
912,1
913,0.5
914,0
915,1
916,1
917,1
918,0
919,1
920,0
921,0.5
922,1
923,0.5
924,0.5
925,1
926,1
927,1
928,0.5
929,1
930,1
931,1
932,0.5
933,1
934,0.5
935,0
936,0
937,1
938,0
939,1
940,0.5
941,0.5
942,1
943,0
944,1
945,0
946,0
947,0
948,1
949,1
950,1
951,0
952,0
953,1
954,0
955,1
956,1
957,1
958,1
959,0.5
960,1
961,0
962,0
963,0.5
964,0
965,0
966,0.5
967,0
968,1
969,0
970,0
971,1
972,0
973,0
974,0
975,0.5
976,0.5
977,1
978,1
979,0.5
980,1
981,0.5
982,0
983,0.5
984,0.5
985,0.5
986,0
987,1
988,0.5
989,1
990,0
991,0.5
992,0.5
993,0.5
994,1
995,1
996,0.5
997,1
998,0.5
999,0.5
1000,0.5
1001,1
1002,0.5
1003,1
1004,0
1005,0.5
1006,0
1007,0
1008,0
1009,1
1010,0
1011,0
1012,1
1013,1
1014,1
1015,1
1016,0.5
1017,0.5
1018,0.5
1019,1
1020,1
1021,0.5
1022,1
1023,1
1024,0
1025,0
1026,0.5
1027,0.5
1028,0
1029,0
1030,0
1031,0.5
1032,1
1033,0
1034,0.5
1035,0.5
1036,0.5
1037,0
1038,0
1039,1
1040,0
1041,0
1042,0
1043,0
1044,0.5
1045,0
1046,0.5
1047,0
1048,0.5
1049,0.5
1050,1
1051,1
1052,1
1053,0.5
1054,1
1055,0
1056,1
1057,1
1058,0
1059,0.5
1060,0.5
1061,0.5
1062,1
1063,0.5
1064,0.5
1065,1
1066,0.5
1067,0
1068,0
1069,1
1070,0
1071,0.5
1072,0
1073,1
1074,0
1075,0.5
1076,1
1077,0
1078,0
1079,0.5
1080,1
1081,1
1082,0
1083,1
1084,0
1085,0.5
1086,0.5
1087,0.5
1088,1
1089,0.5
1090,0
1091,0
1092,1
1093,0
1094,0
1095,0.5
1096,0
1097,1
1098,1
1099,0.5
1100,0
1101,0.5
1102,0
1103,0
1104,0
1105,0.5
1106,0.5
1107,0.5
1108,0.5
1109,0.5
1110,1
1111,0.5
1112,1
1113,0
1114,0.5
1115,1
1116,0.5
1117,0.5
1118,0.5
1119,0
1120,0.5
1121,0.5
1122,1
1123,1
1124,0.5
1125,1
1126,0.5
1127,0
1128,1
1129,0.5
1130,1
1131,1
1132,0
1133,1
1134,1
1135,0
1136,1
1137,0
1138,0
1139,1
1140,1
1141,0
1142,1
1143,0.5
1144,1
1145,1
1146,0
1147,0.5
1148,1
1149,0.5
1150,0.5
1151,0.5
1152,0.5
1153,0
1154,0
1155,0
1156,0.5
1157,1
1158,0.5
1159,0.5
1160,0.5
1161,1
1162,0.5
1163,0.5
1164,0
1165,0.5
1166,1
1167,0
1168,0.5
1169,0.5
1170,0
1171,0
1172,0.5
1173,1
1174,0
1175,0
1176,0
1177,1
1178,0
1179,0
1180,1
1181,0.5
1182,1
1183,0.5
1184,0
1185,1
1186,1
1187,1
1188,0
1189,1
1190,0
1191,1
1192,0
1193,0.5
1194,0
1195,1
1196,0.5
1197,0
1198,0.5
1199,0.5
1200,1
1201,1
1202,0.5
1203,0.5
1204,0
1205,1
1206,0.5
1207,1
1208,0
1209,1
1210,0.5
1211,0.5
1212,0.5
1213,0
1214,0.5
1215,0.5
1216,1
1217,0
1218,1
1219,1
1220,0
1221,0
1222,0.5
1223,0.5
1224,1
1225,0.5
1226,0
1227,0.5
1228,0.5
1229,0.5
1230,0.5
1231,0
1232,1
1233,1
1234,0
1235,0
1236,0
1237,0
1238,1
1239,0
1240,1
1241,0
1242,0
1243,0.5
1244,0
1245,0.5
1246,0.5
1247,1
1248,0.5
1249,1
1250,0.5
1251,0
1252,1
1253,0
1254,0.5
1255,0.5
1256,0.5
1257,0
1258,1
1259,0
1260,1
1261,1
1262,1
1263,1
1264,1
1265,0.5
1266,1
1267,0
1268,1
1269,0
1270,1
1271,0.5
1272,0
1273,1
1274,1
1275,1
1276,0
1277,1
1278,0
1279,1
1280,0.5
1281,0.5
1282,0.5
1283,0
1284,0
1285,0
1286,1
1287,0
1288,0.5
1289,1
1290,0
1291,0
1292,0.5
1293,0
1294,0.5
1295,0
1296,0.5
1297,1
1298,0.5
1299,0
1300,1
1301,0.5
1302,1
1303,1
1304,1
1305,0
1306,1
1307,0
1308,0
1309,1
1310,0
1311,1
1312,1
1313,0.5
1314,0.5
1315,0
1316,1
1317,0.5
1318,0.5
1319,0.5
1320,0.5
1321,0.5
1322,0.5
1323,0.5
1324,0.5
1325,0
1326,0.5
1327,0.5
1328,0.5
1329,0.5
1330,0
1331,0.5
1332,0.5
1333,0.5
1334,1
1335,0
1336,1
1337,0
1338,0.5
1339,0.5
1340,1
1341,0.5
1342,0.5
1343,0
1344,0
1345,1
1346,0.5
1347,0.5
1348,1
1349,0
1350,0
1351,1
1352,0
1353,0
1354,0
1355,0.5
1356,0.5
1357,1
1358,0
1359,1
1360,0.5
1361,1
1362,1
1363,0.5
1364,0
1365,1
1366,1
1367,0.5
1368,1
1369,0
1370,1
1371,1
1372,0
1373,1
1374,0
1375,1
1376,0.5
1377,0.5
1378,1
1379,0.5
1380,0.5
1381,1
1382,0
1383,0
1384,0
1385,1
1386,0.5
1387,0
1388,1
1389,0.5
1390,0.5
1391,0.5
1392,1
1393,1
1394,1
1395,0.5
1396,0.5
1397,1
1398,1
1399,0
1400,1
1401,0.5
1402,0.5
1403,0
1404,1
1405,1
1406,1
1407,1
1408,0
1409,0
1410,0
1411,1
1412,0.5
1413,1
1414,1
1415,1
1416,0
1417,0.5
1418,1
1419,0
1420,1
1421,0
1422,1
1423,0.5
1424,0
1425,0
1426,1
1427,1
1428,1
1429,0
1430,0
1431,0
1432,1
1433,1
1434,0.5
1435,0.5
1436,0
1437,0
1438,1
1439,0
1440,0.5
1441,0
1442,0
1443,0.5
1444,1
1445,0
1446,1
1447,1
1448,1
1449,0.5
1450,1
1451,1
1452,0
1453,1
1454,1
1455,1
1456,1
1457,0
1458,0.5
1459,1
1460,0
1461,0
1462,0.5
1463,1
1464,0.5
1465,0.5
1466,0.5
1467,0
1468,1
1469,0.5
1470,1
1471,0
1472,0
1473,0
1474,0
1475,0
1476,1
1477,1
1478,0.5
1479,0
1480,0
1481,1
1482,1
1483,0.5
1484,1
1485,0.5
1486,0
1487,0
1488,0.5
1489,0.5
1490,1
1491,0.5
1492,0
1493,0
1494,0.5
1495,1
1496,0
1497,0.5
1498,1
1499,0.5
1500,0.5
1501,1
1502,0
1503,1
1504,1
1505,1
1506,1
1507,0
1508,0
1509,0
1510,0
1511,1
1512,0
1513,1
1514,0
1515,0.5
1516,1
1517,1
1518,0
1519,0.5
1520,0
1521,0.5
1522,1
1523,1
1524,0
1525,0.5
1526,0.5
1527,1
1528,0.5
1529,1
1530,0
1531,1
1532,0
1533,1
1534,0
1535,0
1536,0.5
1537,0.5
1538,0.5
1539,0
1540,1
1541,1
1542,0
1543,1
1544,1
1545,0
1546,1
1547,0
1548,1
1549,0
1550,1
1551,0.5
1552,1
1553,1
1554,0.5
1555,1
1556,0.5
1557,1
1558,0.5
1559,0
1560,0.5
1561,0.5
1562,0.5
1563,0
1564,0.5
1565,0
1566,0.5
1567,0
1568,0
1569,0
1570,0.5
1571,0
1572,0.5
1573,0
1574,1
1575,0.5
1576,1
1577,1
1578,0
1579,0
1580,1
1581,0.5
1582,0
1583,0
1584,1
1585,0
1586,0
1587,1
1588,1
1589,1
1590,0
1591,1
1592,1
1593,0
1594,0
1595,1
1596,0.5
1597,0
1598,1
1599,0
1600,0.5
1601,0.5
1602,0
1603,0
1604,1
1605,0
1606,0
1607,0
1608,0
1609,0
1610,0.5
1611,0
1612,0.5
1613,1
1614,0
1615,0.5
1616,0
1617,0
1618,0
1619,1
1620,0.5
1621,0
1622,0
1623,0.5
1624,1
1625,0
1626,0
1627,0.5
1628,1
1629,0
1630,1
1631,0.5
1632,0.5
1633,1
1634,0
1635,0.5
1636,0.5
1637,1
1638,0.5
1639,1
1640,1
1641,0.5
1642,1
1643,1
1644,0.5
1645,0
1646,0.5
1647,0
1648,0
1649,0
1650,0
1651,1
1652,0.5
1653,1
1654,0.5
1655,1
1656,0.5
1657,0
1658,0.5
1659,1
1660,0.5
1661,0.5
1662,0.5
1663,0.5
1664,0
1665,1
1666,1
1667,1
1668,1
1669,0
1670,1
1671,1
1672,1
1673,0.5
1674,0.5
1675,0.5
1676,0
1677,0
1678,1
1679,0
1680,0
1681,1
1682,0.5
1683,0
1684,0.5
1685,1
1686,1
1687,0
1688,1
1689,0
1690,1
1691,1
1692,0.5
1693,0
1694,0
1695,0.5
1696,0.5
1697,1
1698,0
1699,1
1700,0.5
1701,0
1702,0
1703,0
1704,0.5
1705,0
1706,0
1707,0.5
1708,0.5
1709,1
1710,1
1711,1
1712,0
1713,0
1714,0
1715,0
1716,1
1717,0
1718,0
1719,0.5
1720,0
1721,1
1722,0
1723,0.5
1724,0.5
1725,0.5
1726,1
1727,0
1728,0.5
1729,0
1730,1
1731,0.5
1732,0.5
1733,0
1734,0
1735,0
1736,1
1737,0
1738,0
1739,1
1740,0
1741,0
1742,0.5
1743,1
1744,1
1745,1
1746,0.5
1747,1
1748,1
1749,0.5
1750,0.5
1751,0.5
1752,1
1753,0.5
1754,0
1755,1
1756,0.5
1757,0.5
1758,0.5
1759,0
1760,1
1761,0.5
1762,0
1763,0.5
1764,0
1765,0
1766,0.5
1767,1
1768,0.5
1769,0
1770,0.5
1771,0
1772,0
1773,0
1774,0
1775,1
1776,0
1777,0
1778,1
1779,1
1780,0
1781,0.5
1782,0
1783,0
1784,0
1785,0.5
1786,0.5
1787,0.5
1788,0.5
1789,0
1790,0
1791,0.5
1792,0
1793,1
1794,0
1795,0.5
1796,1
1797,0.5
1798,0.5
1799,0
1800,0.5
1801,1
1802,0
1803,0
1804,1
1805,0.5
1806,1
1807,1
1808,1
1809,1
1810,0.5
1811,0
1812,0
1813,0.5
1814,0
1815,1
1816,1
1817,0.5
1818,1
1819,0
1820,0
1821,0
1822,0.5
1823,1
1824,0
1825,0
1826,0
1827,0
1828,0
1829,0.5
1830,0
1831,1
1832,0.5
1833,1
1834,0
1835,0
1836,0
1837,0
1838,0
1839,0
1840,1
1841,0
1842,1
1843,0
1844,0.5
1845,0.5
1846,1
1847,1
1848,0
1849,0
1850,1
1851,0.5
1852,1
1853,1
1854,0.5
1855,1
1856,0.5
1857,0
1858,0.5
1859,0
1860,0.5
1861,0
1862,0
1863,0
1864,0.5
1865,0
1866,0
1867,0
1868,0
1869,0.5
1870,1
1871,1
1872,1
1873,1
1874,0
1875,0.5
1876,0
1877,0.5
1878,1
1879,0.5
1880,1
1881,1
1882,0
1883,1
1884,0
1885,1
1886,0.5
1887,0.5
1888,0.5
1889,1
1890,1
1891,0
1892,1
1893,0.5
1894,0.5
1895,0.5
1896,1
1897,0
1898,0
1899,0.5
1900,0
1901,1
1902,0.5
1903,0
1904,0.5
1905,0
1906,0.5
1907,1
1908,1
1909,0.5
1910,0
1911,0.5
1912,0
1913,0.5
1914,1
1915,1
1916,0.5
1917,1
1918,1
1919,0
1920,0.5
1921,0
1922,1
1923,0
1924,0
1925,0.5
1926,0.5
1927,1
1928,0.5
1929,0
1930,0
1931,0.5
1932,0.5
1933,0.5
1934,1
1935,0.5
1936,0
1937,1
1938,0.5
1939,1
1940,0.5
1941,0
1942,0
1943,1
1944,1
1945,0.5
1946,1
1947,0
1948,0
1949,0
1950,0.5
1951,0
1952,1
1953,1
1954,0
1955,1
1956,0.5
1957,1
1958,0
1959,1
1960,0.5
1961,0.5
1962,1
1963,0.5
1964,0
1965,1
1966,1
1967,0.5
1968,1
1969,0.5
1970,1
1971,0
1972,1
1973,1
1974,0
1975,0.5
1976,0
1977,0.5
1978,0
1979,1
1980,1
1981,1
1982,0.5
1983,0
1984,1
1985,0.5
1986,1
1987,0.5
1988,0.5
1989,1
1990,0.5
1991,1
1992,0
1993,0
1994,0.5
1995,0
1996,1
1997,1
1998,0.5
1999,1
2000,0
2001,1
2002,1
2003,1
2004,0.5
2005,1
2006,1
2007,0.5
2008,0.5
2009,0
2010,1
2011,0.5
2012,0
2013,0.5
2014,0.5
2015,0.5
2016,0
2017,0.5
2018,0
2019,1
2020,0.5
2021,0.5
2022,0
2023,0.5
2024,0
2025,1
2026,0
2027,0.5
2028,1
2029,0.5
2030,0
2031,0
2032,1
2033,0.5
2034,1
2035,1
2036,0
2037,1
2038,1
2039,1
2040,0
2041,1
2042,1
2043,0.5
2044,1
2045,0.5
2046,0.5
2047,0
2048,1
2049,0
2050,0
2051,0.5
2052,1
2053,0
2054,0.5
2055,0
2056,1
2057,0
2058,1
2059,0
2060,1
2061,1
2062,0
2063,0.5
2064,0
2065,1
2066,0.5
2067,0.5
2068,0.5
2069,1
2070,0.5
2071,0
2072,1
2073,0
2074,0
2075,0.5
2076,1
2077,1
2078,0
2079,1
2080,0
2081,0
2082,0
2083,0.5
2084,0
2085,0.5
2086,1
2087,0
2088,1
2089,0.5
2090,1
2091,0.5
2092,1
2093,1
2094,0.5
2095,0.5
2096,0
2097,0.5
2098,0.5
2099,1
2100,0.5
2101,0.5
2102,1
2103,0.5
2104,1
2105,0
2106,0
2107,0
2108,1
2109,0.5
2110,0.5
2111,0.5
2112,1
2113,0.5
2114,1
2115,1
2116,1
2117,0.5
2118,0.5
2119,1
2120,1
2121,1
2122,1
2123,1
2124,0.5
2125,1
2126,0.5
2127,1
2128,1
2129,0
2130,1
2131,0.5
2132,0
2133,1
2134,0
2135,1
2136,0
2137,1
2138,1
2139,0
2140,1
2141,0.5
2142,0.5
2143,0
2144,0
2145,0.5
2146,0
2147,1
2148,0
2149,0
2150,0.5
2151,1
2152,1
2153,0
2154,1
2155,0.5
2156,0.5
2157,1
2158,0
2159,0.5
2160,1
2161,1
2162,0.5
2163,1
2164,0
2165,0
2166,1
2167,1
2168,0
2169,0
2170,0.5
2171,1
2172,0.5
2173,0.5
2174,0
2175,1
2176,0.5
2177,0.5
2178,0
2179,1
2180,1
2181,0
2182,0.5
2183,0.5
2184,0.5
2185,0
2186,0
2187,0.5
2188,1
2189,0.5
2190,0.5
2191,0.5
2192,1
2193,1
2194,1
2195,0
2196,0
2197,0
2198,0.5
2199,1
2200,1
2201,0.5
2202,0
2203,0
2204,1
2205,0
2206,0.5
2207,0
2208,0.5
2209,1
2210,1
2211,0.5
2212,0
2213,1
2214,0
2215,1
2216,0.5
2217,0
2218,0
2219,0
2220,0
2221,1
2222,0.5
2223,1
2224,0.5
2225,1
2226,1
2227,0
2228,1
2229,0
2230,0
2231,0.5
2232,0.5
2233,0
2234,1
2235,0
2236,0.5
2237,0
2238,0.5
2239,0.5
2240,1
2241,1
2242,0.5
2243,0.5
2244,0.5
2245,0
2246,1
2247,0
2248,0
2249,0
2250,1
2251,0
2252,1
2253,0.5
2254,1
2255,1
2256,0
2257,0
2258,1
2259,0
2260,0.5
2261,1
2262,0.5
2263,0
2264,0
2265,0.5
2266,0.5
2267,0
2268,0
2269,0
2270,1
2271,0
2272,0
2273,0.5
2274,1
2275,0.5
2276,1
2277,1
2278,0
2279,0.5
2280,1
2281,0.5
2282,1
2283,0
2284,0.5
2285,1
2286,0.5
2287,1
2288,0.5
2289,1
2290,1
2291,0
2292,0
2293,0
2294,1
2295,1
2296,1
2297,0.5
2298,0.5
2299,1
2300,0.5
2301,0.5
2302,0
2303,0
2304,0.5
2305,0
2306,0
2307,1
2308,1
2309,1
2310,0
2311,0
2312,0.5
2313,1
2314,0.5
2315,0
2316,0
2317,1
2318,0.5
2319,1
